index,group_,min,max,ave
0,Turee_Creek_Group,2208.0,2445.0,2326.5
1,Hamersley_Group,2445.0,2629.0,2537.0
2,Fortescue_Group,2629.0,2775.0,2702.0
3,Rocklea_Inlier_metagranitic_unit,3221.0,3225.0,3223.0
4,Rocklea_Inlier_greenstones,3225.0,3530.0,3377.5
