WKT	objectid	code	group_	min_age_ma	max_age_ma	unitname	rocktype1	rocktype2	descriptn
"POLYGON ((516489.10989085 7497660.42043624, 516265.41816958 7497432.42149587, 515863.18009091 7497103.4211183, 515793.12893132 7497078.39958474, 515754.79905719 7497040.40949866, 515687.31005864 7497115.820520521, 515687.31005864 7497389.639072336, 515870.97036341 7497621.41056542, 516091.26101893 7498037.4066574, 516446.69074214 7498643.43120897, 516885.9020886 7498199.42979174, 516642.61860186 7497850.43077794, 516489.10989085 7497660.42043624))"	"15791"	"Marra Mamba Iron Formation"	"Hamersley Group"	"2597.0"	"2629.0"	"A-HAm-cib"	"sedimentary other chemical or biochemical"	"None"	"Chert  banded iron-formation  mudstone  and siltstone; minor carbonate; metamorphosed"
"POLYGON ((515687.31005864 7498836.682474305, 515699.65068941 7498844.91902979, 515937.86030956 7499043.41833767, 516084.35138976 7498918.92114254, 515687.31005864 7498557.94276498, 515687.31005864 7498836.682474305))"	"15270"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((515687.31005864 7502462.967454206, 515987.75924618 7502401.43070555, 516678.09851031 7502381.43008492, 516985.40934179 7502432.9397205, 517381.03036753 7501996.4504586, 517068.96779028 7501902.43897919, 516636.07834355 7501815.93995041, 516241.76033915 7501804.9294619, 515739.54906482 7501845.93002376, 515687.31005864 7501854.524165706, 515687.31005864 7502462.967454206))"	"15982"	"Boolgeeda Iron Formation"	"Hamersley Group"	"2445.0"	"2445.0"	"P_-HAo-ci"	"sedimentary other chemical or biochemical"	"None"	"Fine-grained  finely laminated iron-formation  mudstone  siltstone  and chert; metamorphosed"
"POLYGON ((516932.12944447 7508983.448732, 516500.23908221 7508810.94945215, 516068.36110472 7508702.9506248, 515687.31005864 7508702.941175409, 515687.31005864 7509097.518641549, 515748.54034869 7509100.438181, 516262.53936959 7509100.43806853, 516923.33080682 7509295.9608854, 517412.83945165 7509467.4519531, 517524.07836862 7509517.96063803, 517746.86032914 7509496.46857439, 518067.74922615 7509452.46925718, 517364.0103144 7509199.45866394, 516932.12944447 7508983.448732))"	"15267"	"Mount McRae Shale and Mount Sylvia Formation"	"Hamersley Group"	"2501.0"	"2541.0"	"A-HAu-xsl-ci"	"sedimentary siliciclastic"	"sedimentary other chemical or biochemical"	"Mudstone  siltstone  chert  banded iron-formation  and dolomite; metamorphosed"
"POLYGON ((515687.31005864 7498557.94276498, 516084.35138976 7498918.92114254, 516132.40196246 7498877.91262597, 516399.80081338 7498690.9206743, 516446.69074214 7498643.43120897, 516091.26101893 7498037.4066574, 515870.97036341 7497621.41056542, 515687.31005864 7497389.639072336, 515687.31005864 7498557.94276498))"	"15794"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
"POLYGON ((515687.31005864 7512669.795848977, 515874.1115062 7512722.42905915, 516218.10093416 7512841.92869326, 516581.10958154 7512947.94203716, 516950.17910833 7512996.9382229, 517211.34105542 7513084.44139818, 517453.79081256 7513254.94145467, 517536.82159765 7513324.44956408, 517568.77865671 7513362.4408889, 518681.60040596 7513163.46024486, 518597.55798434 7513057.96216531, 517979.09087702 7512723.94780965, 517686.16148127 7512642.96193342, 517399.70008392 7512574.4402027, 516992.42933514 7512525.43801538, 516623.33205995 7512470.43085224, 515897.4702875 7512289.9319904, 515687.31005864 7512222.224365059, 515687.31005864 7512669.795848977))"	"6146"	"Jeerinah Formation"	"Fortescue Group"	"2629.0"	"2713.0"	"A-FOj-xs-b"	"sedimentary siliciclastic"	"igneous mafic volcanic"	"Siliciclastic sedimentary rocks  mafic volcanic rocks and minor felsic volcanic rocks; local carbonate rocks  chert  and dolerite sills"
"POLYGON ((521206.44805255 7513361.99073524, 520938.88133815 7513267.97940022, 520645.30875614 7513059.48895733, 520453.80019483 7512901.48857798, 520389.86116025 7512831.98010548, 520370.70012869 7512818.9802795, 520338.62871925 7512761.99234245, 519646.4217734 7512962.96949211, 519742.82865245 7513178.98048389, 519820.11148812 7513375.97013024, 519916.4704205 7513578.972262, 520057.24140862 7513756.47265479, 520165.88796347 7513870.45966045, 520280.82974079 7513977.97114484, 520338.34111842 7514028.47119258, 520542.46265294 7514160.96857663, 521206.44805255 7513361.99073524))"	"7278"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((515687.31005864 7511091.777985905, 516172.12911495 7511206.4422327, 516484.16132446 7511287.43234295, 517223.00990665 7511531.45124347, 517649.62101815 7511643.9605598, 518044.52787413 7511781.45883112, 518131.41611759 7511817.68189056, 518452.36964871 7511951.47933779, 518840.98013695 7512101.9699394, 519490.44943603 7512263.97958642, 520177.61052522 7512329.97809958, 520438.64969137 7512399.00060822, 520693.50992076 7512499.00012811, 521012.04004505 7512605.49964378, 521710.48995991 7512392.00833865, 521551.36796333 7512361.00948352, 521156.28848431 7512191.00094936, 520563.53998184 7511920.50166278, 520258.06879876 7511871.50049897, 519984.45962465 7511840.98947112, 519894.13068081 7511815.50558588, 519608.75095835 7511734.98926983, 519041.83155153 7511534.48251633, 518143.7698264 7511252.96865622, 517851.0309908 7511209.95979979, 517500.92836104 7511135.44948263, 517163.4013912 7511035.44954561, 516431.11017214 7510841.93773468, 516099.91174983 7510729.4413951, 515687.31005864 7510535.495148473, 515687.31005864 7511091.777985905))"	"6145"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((516947.63894515 7511819.03017006, 516836.31911321 7511794.45063874, 516460.88028217 7511739.42922518, 516091.6706311 7511671.4325363, 515741.35156584 7511558.431179, 515687.31005864 7511543.949450626, 515687.31005864 7512222.224365059, 515897.4702875 7512289.9319904, 516623.33205995 7512470.43085224, 516992.42933514 7512525.43801538, 517399.70008392 7512574.4402027, 517686.16148127 7512642.96193342, 517979.09087702 7512723.94780965, 518597.55798434 7513057.96216531, 518681.60040596 7513163.46024486, 518852.32142054 7513132.95880111, 518845.84951117 7513113.96025417, 519646.4217734 7512962.96949211, 519366.22956886 7512888.46824782, 519003.07043136 7512743.96876198, 518717.71725651 7512586.07635517, 517989.22775324 7512182.94785427, 517562.11861299 7511968.94826532, 517173.73125336 7511868.94886129, 516947.63894515 7511819.03017006))"	"6144"	"Fortescue Group"	"Fortescue Group"	"2629.0"	"2775.0"	"A-FO-od"	"igneous mafic intrusive"	"None"	"Dolerite dyke or sill"
"POLYGON ((561550.4680921175 7473446.76593407, 561563.77134839 7473504.33869078, 561907.56077362 7474006.84018401, 561881.14954883 7474430.3293834, 561616.6508675599 7474853.33950081, 561219.8783506 7475276.85005153, 560928.94053106 7475620.33950817, 560770.2414523599 7475990.84863353, 560638.07073543 7476334.83234116, 560611.57851814 7476731.33979268, 560690.94948686 7477048.84036277, 560849.62086958 7477524.84173464, 560770.24932315 7478159.84121504, 560426.43128449 7478582.82071244, 560135.49107819 7478900.31787428, 559447.810752 7479693.82096476, 558945.3009892399 7480407.81031191, 558495.6914021 7480910.31282782, 558166.31841564 7481134.30185047, 558961.61841599 7480662.81018674, 559565.25959079 7480131.81032142, 560188.35912337 7479905.32126362, 560664.51085073 7479482.31912678, 560955.42037857 7479111.82746639, 561166.9795951101 7478767.82974833, 561325.67908815 7478291.84964806, 561695.9983783599 7477577.83873226, 561775.32906914 7477180.83913871, 561907.56128285 7476837.33175473, 561960.5106757 7476493.34155914, 562066.2392220499 7476122.84212955, 562145.61946215 7475408.85084105, 562330.75103519 7474800.34163988, 562489.4708 7474509.84148686, 562648.13034666 7474324.34107783, 562666.8601065431 7474303.73696987, 562666.8601065431 7473446.76593407, 561550.4680921175 7473446.76593407))"	"8406"	"Wittenoom Formation"	"Hamersley Group"	"2504.0"	"2597.0"	"A-HAd-kd"	"sedimentary carbonate"	"None"	"Thinly bedded dolomite and dolomitic shale  with minor black chert  shale  banded iron formation and sandstone"
