X, Y, l, m, angle
516187.31005864, 7473946.76593407, -0.47461219584100817, 0.880195014504727, -28.334103143173778
516187.31005864, 7474446.76593407, -0.45372411825265396, 0.8911422021854041, -26.9828717608134
516187.31005864, 7474946.76593407, -0.42900127525459136, 0.9033038834356544, -25.404195247158405
516187.31005864, 7475446.76593407, -0.4002731029136081, 0.9163958986616604, -23.595252568417045
516187.31005864, 7475946.76593407, -0.36628940009166167, 0.9305009808594995, -21.48695614916233
516187.31005864, 7476446.76593407, -0.32306151923461723, 0.9463779661371142, -18.848174007591577
516187.31005864, 7476946.76593407, -0.26677459222562555, 0.9637589516797503, -15.472426063169356
516187.31005864, 7477446.76593407, -0.19809677430679587, 0.9801824666914025, -11.425685594882827
516187.31005864, 7477946.76593407, -0.12094543481327563, 0.99265915691028, -6.946669436233908
516187.31005864, 7478446.76593407, -0.038103452539528314, 0.9992737997688961, -2.1836956410808086
516187.31005864, 7478946.76593407, 0.04977850571177739, 0.9987602817338616, 2.853277471963957
516187.31005864, 7479446.76593407, 0.14073753803158667, 0.990046941002702, 8.090526630787528
516187.31005864, 7479946.76593407, 0.22862378010512363, 0.9735148520543712, 13.216061466714667
516187.31005864, 7480446.76593407, 0.3056001409851633, 0.9521599413070517, 17.794273460239744
516187.31005864, 7480946.76593407, 0.3672922503428304, 0.9301055869298387, 21.548719965657618
516187.31005864, 7481446.76593407, 0.4149893391733329, 0.9098262737316837, 24.51864512223809
516187.31005864, 7481946.76593407, 0.4536373838299558, 0.8911863576109732, 26.97729532954558
516187.31005864, 7482446.76593407, 0.4881922336120202, 0.8727361245192654, 29.221831436925157
516187.31005864, 7482946.76593407, 0.5203711158225358, 0.8539402214544114, 31.357148505170887
516187.31005864, 7483446.76593407, 0.546090544798139, 0.837726158647366, 33.09921919124756
516187.31005864, 7483946.76593407, 0.5550610852402507, 0.83180958857897, 33.714922283668706
516187.31005864, 7484446.76593407, 0.5388177669517181, 0.8424223489539935, 32.60319533206758
