WKT	objectid	feature
LINESTRING (521141.66437801 7486458.43502879, 520294.17369376 7487449.93496033, 520117.36157791 7487711.42727873, 519978.90911739 7488011.42803343, 519682.38895893 7488515.92772353)	7222	Fault or shear zone
LINESTRING (527486.9209550681 7521273.57407786, 528170.25902742 7521093.71038352, 528411.2549876201 7521033.75287669, 528606.40042908 7520985.19937258, 529986.09036398 7520665.72999825)	8400	Fault or shear zone
LINESTRING (530992.8558445342 7521273.57407786, 531297.70112357 7520983.24953894, 531480.96354471 7520734.23845213, 531917.63887138 7520292.74105598, 532155.87987871 7520065.75044684, 532538.04436105 7519770.23537377, 532956.14383431 7519517.75727861, 533136.40760713 7519431.25127566)	8973	Fault or shear zone
LINESTRING (521416.13576964 7482669.93442657, 521112.01975077 7482919.9202763, 520941.17862752 7483098.93134079, 519643.77940677 7484410.92145333, 519428.37901419 7484590.40797662, 518845.53649929 7485045.40687333, 517828.8937892 7485749.40160572, 517634.90008478 7485898.40060792, 517463.63754301 7486001.39047198, 516284.11357896 7486694.87455682, 515687.31005864 7486940.339990976)	10762	Fault or shear zone
LINESTRING (523814.80919092 7500861.50106209, 524403.0688352101 7500914.50825195, 525518.20125753 7500983.10386043, 526591.38175092 7501049.0416828, 528009.38002393 7501104.55890638, 528302.37962347 7501116.06109037)	11445	Fault or shear zone
LINESTRING (561902.1672820901 7495667.56119192, 562666.8601065431 7495485.170016432)	12642	Fault or shear zone
LINESTRING (528055.80054875 7501423.05933658, 529283.51012455 7501486.06090314, 529735.54628834 7501486.24418653, 530418.70911618 7501486.4958822, 531172.41077884 7501486.73834442, 532463.8035782099 7501487.06753388, 532622.25910074 7501487.10041895)	12646	Fault or shear zone
LINESTRING (520343.17884566 7501712.97896174, 521600.978795 7500716.47986228, 522066.44076737 7500347.99055952, 522262.58927234 7500072.48211218, 523291.23883935 7498627.49077638, 523430.9410852 7498430.97971338, 524119.3216712 7497642.51516716, 524494.0876216301 7496605.00666576, 524724.62548089 7495307.98749757, 525272.35781248 7494039.49961675, 525704.70504445 7493463.00413042, 526223.55235006 7492598.51350424, 526718.5994980501 7491736.49932416, 527174.81999884 7490782.51162547, 527680.86720332 7490012.50910418, 528289.45943397 7489080.52081917, 528731.3410245 7488476.02152234, 528891.78911586 7488198.02104718, 529097.5478161999 7487841.02214759, 529422.97116457 7487328.51025387, 529486.57355708 7487228.24070015, 529610.7180335 7487032.52178932, 529682.6185648 7486919.51543206, 530172.61399777 7486401.02906034, 530691.43430111 7485795.52823793)	12647	Fault or shear zone
LINESTRING (546639.32683299 7512670.78252025, 547057.7754359 7512183.62565854, 547482.99167866 7511755.15088418, 547514.27067336 7511723.63079608, 547817.78003248 7511359.13963683, 547988.05819589 7511059.14206046, 548241.14158319 7510796.6291774, 548272.14054764 7510624.62928941, 548653.86104331 7509880.75526473, 548691.0370235899 7509786.30969332, 548901.39199359 7509041.56628439, 548978.5008560501 7508211.38333105, 548948.53390282 7507152.60603048, 548779.6855026 7504205.42359491, 548696.4036478 7503089.56673039, 548667.18383825 7502259.71665453, 548771.4828855901 7501629.77815787, 549125.6591833601 7501291.06209152, 549221.86553991 7501199.0512453, 550309.2222200501 7500537.29586449, 551263.6320669299 7499875.89151242, 551387.97248765 7499780.9937221, 551979.20552504 7499329.72864007, 552615.4234901801 7498898.28016168, 552794.04956652 7498772.5523466)	12658	Fault or shear zone
LINESTRING (515687.31005864 7509754.226525011, 515762.92112246 7509734.92977995, 516050.24149141 7509647.43350568, 517524.07836862 7509517.96063803, 517746.86032914 7509496.4685744, 518067.74922615 7509452.46925718, 518912.77772736 7509330.46926409, 519307.44022161 7509273.48997862, 520543.73483977 7509095.01279117, 521090.55123523 7509073.01052396)	12660	Fault or shear zone
LINESTRING (515687.31005864 7504448.313224441, 515694.68618334 7504430.43027069, 515738.88476599 7504353.4403226, 516394.71281388 7503210.94009311, 516559.52884586 7502992.44223246, 516863.05789255 7502589.94232609, 516965.38096195 7502458.64066976, 516985.40934179 7502432.9397205, 517381.03036753 7501996.4504586, 517439.45226521 7501894.93914092, 517626.97828778 7501568.43814849, 517873.43954899 7501235.94113834, 517978.50258812 7501117.44098539, 518524.9442624 7500500.44191141, 518815.13140255 7500008.94937101, 518839.30872175 7499930.93991049, 518912.27037857 7499695.46061321, 518959.73934571 7499542.45116102, 519006.42959692 7499391.45138507, 519103.09158567 7499079.93851591, 519142.37342451 7498952.95056238, 519198.90885568 7498812.44902131, 519252.20101763 7498679.95235482, 519335.66180724 7498472.43955491, 519782.08844692 7497413.44831201, 520002.38850294 7496934.94194691, 520209.10836453 7496271.9499226, 520631.03544852 7495403.9455309)	14378	Fault or shear zone
LINESTRING (524248.58790062 7500447.0197916, 523397.80014025 7500183.49101218, 522854.10153551 7500070.49063024, 522262.58927234 7500072.48211218)	15546	Fault or shear zone
LINESTRING (556931.35087387 7494207.77888696, 556392.39701353 7494547.77139712, 556063.47403867 7494912.25786786, 555539.31373062 7495666.26446304, 555257.96155533 7496120.25369018, 555072.2694065199 7496419.74275294, 554527.5386105001 7496881.23194422, 554307.53902452 7497121.23991219, 552794.04956652 7498772.5523466, 553596.08464105 7498208.01852831, 554152.4032223 7497748.16710678, 554862.03073534 7497234.0601492, 555089.24036267 7497031.25055074, 555214.7785812001 7496966.73762543, 555303.84934959 7496972.25131123, 555397.43231938 7496948.76113351, 555500.58854933 7496894.75131075, 556810.03934078 7496760.77135565)	16399	Fault or shear zone
LINESTRING (562666.8601065431 7480980.264266898, 560416.26865676 7482734.7473422)	16754	Fault or shear zone
LINESTRING (522459.5291779 7512088.52096737, 521710.48995991 7512392.00833866, 521012.04004505 7512605.49964379, 520338.62871925 7512761.99234245, 519646.4217734 7512962.96949212, 518845.84951117 7513113.96025417, 518852.32142054 7513132.95880111, 518681.60040596 7513163.46024486, 517568.77865671 7513362.4408889, 516323.22553533 7513547.42216704)	16769	Fault or shear zone
