X, Y, l, m, n, dip, dip_dir
516187.31005864, 7473946.76593407, -0.2235239729243815, -0.28409703738661873, 0.9323764834423091, 21.191651462375546, 218.19522312578283
516187.31005864, 7474446.76593407, -0.20821199948085753, -0.28508222473768946, 0.9356152459268676, 20.672229428570475, 216.14281195124147
516187.31005864, 7474946.76593407, -0.18962925400118602, -0.28689547805409676, 0.939005713879881, 20.11475611407721, 213.46350031764905
516187.31005864, 7475446.76593407, -0.16770281383943952, -0.28953773337333183, 0.9423606884751548, 19.54814083941804, 210.07980179744982
516187.31005864, 7475946.76593407, -0.142557593574339, -0.29299647301356296, 0.9454260411665768, 19.016278146574933, 205.94526328417646
516187.31005864, 7476446.76593407, -0.11455390319062372, -0.29724677595954374, 0.9479038756358421, 18.5756504593445, 201.07582283191357
516187.31005864, 7476946.76593407, -0.08429660178874698, -0.30225341335516137, 0.9494929999963263, 18.287674848544484, 195.58345657344717
516187.31005864, 7477446.76593407, -0.05260471855485115, -0.30797334804403775, 0.9499395562246636, 18.205960105481083, 189.69310750364764
516187.31005864, 7477946.76593407, -0.02043983481124308, -0.3143575831016729, 0.9490845710996275, 18.362105164320283, 183.72019037843006
516187.31005864, 7478446.76593407, 0.011195394501266543, -0.32135142200007394, 0.9468938307542675, 18.756469083793192, 178.00470921606598
516187.31005864, 7478946.76593407, 0.04136638868838322, -0.32889299423317236, 0.9434607677223362, 19.358885616277973, 172.83128863564502
516187.31005864, 7479446.76593407, 0.06929858957230961, -0.33691099131460706, 0.938982795057874, 20.118574161299662, 168.37704241131178
516187.31005864, 7479946.76593407, 0.09443427428430329, -0.34532325541724873, 0.9337205240908174, 20.977589813431507, 164.70547679611786
516187.31005864, 7480446.76593407, 0.11644879262331544, -0.35403769515711625, 0.9279531179453028, 21.882041159339295, 161.7931183378032
516187.31005864, 7480946.76593407, 0.1352324493201264, -0.36295608783180144, 0.9219409216195543, 22.788498633572715, 159.565297953185
516187.31005864, 7481446.76593407, 0.15085066210184775, -0.37198022355313337, 0.9159010814650211, 23.665981622874114, 157.92576829456482
516187.31005864, 7481946.76593407, 0.1634956071712802, -0.38101910252741134, 0.9099964999629946, 24.495132146048277, 156.775789451754
516187.31005864, 7482446.76593407, 0.173439413610843, -0.3899957324969755, 0.9043351693042101, 25.266110131873063, 156.02426570500313
516187.31005864, 7482946.76593407, 0.18099469797758888, -0.3988523796254718, 0.8989759165690147, 25.976219158228943, 155.59199042379953
516187.31005864, 7483446.76593407, 0.18648458318770572, -0.40755364782851056, 0.8939370919561298, 26.627772674147856, 155.4125585709753
516187.31005864, 7483946.76593407, 0.1902219630854153, -0.4160872713863923, 0.8892058183290064, 27.226380582412865, 155.4316169189209
516187.31005864, 7484446.76593407, 0.19249657492952618, -0.4244628785899627, 0.8847464796988593, 27.77966086254336, 155.6054102753294
516187.31005864, 7484946.76593407, 0.19356806758659842, -0.43270919058108576, 0.8805078986570488, 28.29630825499101, 155.89912917252298
516187.31005864, 7485446.76593407, 0.19366334153390438, -0.44087018607216577, 0.8764291124663856, 28.785435537507922, 156.2853067520541
516187.31005864, 7485946.76593407, 0.19297672648322753, -0.4490007352732824, 0.872443879432866, 29.256111910602733, 156.7423750548353
516187.31005864, 7486446.76593407, 0.19167189922049996, -0.457162128236078, 0.8684841228001042, 29.71704020616943, 157.2534205842859
