X,Y,Z,formation
524699.2827292278,7480174.155008053,387.3385620325779,Rocklea_Inlier_greenstones
544996.665159834,7478589.636691808,461.5983387065817,Hardey_Formation
524702.9338686303,7480164.845379647,387.225201877359,Rocklea_Inlier_metagranitic_unit
544996.665159834,7478589.636691808,461.5983387065817,Hardey_Formation
560066.0032042376,7479755.194099805,644.1393555900802,Wittenoom_Formation
540903.9164328858,7489647.384892044,617.2522347915963,Jeerinah_Formation
560071.9500440945,7479763.233695299,644.0903466941877,Wittenoom_Formation
540906.1207239783,7489657.13892202,617.1845601093152,Jeerinah_Formation
558231.8938541659,7481089.614733473,614.1732535165659,Marra_Mamba_Iron_Formation
541242.147412236,7489569.507805938,632.1464170537395,Jeerinah_Formation
537046.7646021981,7490731.203805591,503.1661798719442,Bunjinah_Formation
559579.4267225713,7480127.550198637,623.4276560174421,Mount_McRae_Shale_and_Mount_Sylvia_Formation
553217.8091988491,7484700.811800274,517.1414240151453,Brockman_Iron_Formation
542506.2342688557,7488873.423740928,639.5204713578127,Mount_McRae_Shale_and_Mount_Sylvia_Formation
541880.7863844015,7489223.4619933,652.0448380089215,Wittenoom_Formation
541073.4313501223,7489619.328773419,640.350312169709,Jeerinah_Formation
537372.9695112887,7490670.257687515,504.9258765554052,Bunjinah_Formation
525333.7755281165,7483447.816148656,413.6751655224845,Hardey_Formation
525339.4929345316,7483456.020492864,413.6081408331607,Hardey_Formation
515738.27817186096,7497066.367217952,572.9120761148438,Marra_Mamba_Iron_Formation
524401.866697745,7484311.205048692,425.3229123084403,Fortescue_Group
524112.3825181314,7484628.492515986,427.08318721041314,Hardey_Formation
523227.1550957014,7485691.224954087,456.9117969171301,Boongal_Formation
522226.3303362894,7487633.670796064,481.3944691006957,Pyradie_Formation
521166.34065112233,7489218.227346819,515.24095404036,Bunjinah_Formation
516810.97132595413,7495902.173419985,534.1806507818308,Jeerinah_Formation
524415.2259704618,7484311.594852671,425.42630227369955,Fortescue_Group
524119.778932019,7484635.222527993,427.0817361634328,Hardey_Formation
523550.77558604773,7485266.759923071,442.2086481415791,Boongal_Formation
