X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type,slope_dip,slope_length,delz,zbase,zcross
522309.026056465,7511359.02917601,Wittenoom_Formation,1187.5999055737495,66,-0.954457602500262,-0.2983465854161097,523800.75898354553,7506586.741163509,520817.29312938446,7516131.317188511,2.8446020743825926,full,0.35297671339422043,1187.6224424578802,7.316427464396952,586.3608332069263,593.6772606713232
523755.8459489,7512212.05589521,Wittenoom_Formation,1169.818595565336,238,-0.7433347846084837,-0.6689195751292223,527100.4438245461,7508495.381972168,520411.2480732539,7515928.729818253,12.010538330934637,full,0.23269053894309533,1169.8282428189514,4.750912167185902,600.6966850523852,595.9457728851993
526520.1154471,7515958.585676265,Wittenoom_Formation,3612.1408571073475,483,-0.1321783160598354,-0.9912259544440843,531476.2452193204,7515297.6940959655,521563.9856748796,7516619.477256564,7.240675125716379,full,0.4538657702187644,3612.254189910977,28.61399911244132,636.5378229217756,665.1518220342169
532634.5191747337,7520028.282510026,Wittenoom_Formation,1632.0095684567966,512,-0.9969501217689998,0.078041365344133,532244.312348013,7515043.531901182,533024.7260014543,7525013.033118871,17.400806468014352,full,0.8980921397358395,1632.2100773746708,25.583298241024863,604.8667158328491,630.450014073874
534338.0607227751,7520733.00405802,Wittenoom_Formation,3102.8696670336794,1147,-0.4958705127787483,-0.8683964731368624,538680.0430884594,7518253.651494127,529996.0783570907,7523212.356621914,21.453450947868163,full,0.2539461444585897,3102.900144234395,13.752617646660156,636.938688429949,650.6913060766092
549386.979920835,7520323.1789416,Wittenoom_Formation,2661.863462067159,1278,-0.9255694473683044,0.3785778626627969,547494.090607521,7515695.331704758,551279.869234149,7524951.026178442,28.812472163068968,full,0.09519038005025181,2661.8671357117296,4.422385555791266,664.2055085412718,659.7831229854805
548897.613677515,7514319.135195435,Wittenoom_Formation,2260.720079834403,344,0.9745929779906228,0.2239833191364246,547777.6970818328,7519192.100085388,550017.5302731971,7509446.170305482,5.908345015500174,full,2.8572098623992024,2263.5339628233105,112.83049892706583,635.7527960472172,748.583294974283
546966.843348305,7512983.390460685,Wittenoom_Formation,2385.2599994312973,302,0.5998155505342558,0.8001383038808275,542966.1518289008,7515982.468213356,550967.5348677092,7509984.312708014,5.3271378250602055,full,1.9577211023160872,2386.653070983988,81.53291574762079,637.825269598269,719.3581853458898
546318.865985385,7512018.13350736,Wittenoom_Formation,1930.8713300874024,323,0.1521341156842557,0.9883598589810138,541377.06669048,7512778.804085781,551260.6652802901,7511257.462928939,8.940744807456213,full,0.6914809152115171,1931.0119558294714,23.30408124912867,642.4945300374538,665.7986112865825
545498.939821435,7510616.14618635,Wittenoom_Formation,1846.3114921626966,467,0.7326380062588067,0.6806185067900525,542095.8472874848,7514279.336217644,548902.0323553853,7506952.956155056,14.358668647588672,full,0.31754754937293234,1846.339848674206,10.232825135149142,653.5872103842215,663.8200355193707
544388.08989391,7508248.899835629,Wittenoom_Formation,1513.1731392390047,336,0.3364231353149178,0.941710929120439,539679.5352483077,7509931.015512204,549096.6445395122,7506566.784159055,12.424953205035706,full,0.43673564881402616,1513.2170995911627,11.534347864816596,638.1108478508189,649.6451957156355
541663.86921207,7504453.40099267,Wittenoom_Formation,944.402345302148,359,0.8274872410183591,0.5614845197793293,538856.4466131733,7508590.837197762,544471.2918109667,7500315.964787578,20.676294851049306,full,1.6989087310091633,944.8176635564645,28.01120411726015,595.1569916087406,623.1681957260007
537696.580005585,7503038.644540605,Wittenoom_Formation,627.8002973357987,296,0.9484970027640712,-0.3167861040948193,539280.5105260591,7507781.129554425,536112.6494851109,7498296.159526785,23.123570129119557,full,4.9290429317474596,630.1306017148398,54.14205281099635,596.2344837610162,650.3765365720126
536651.8741216101,7501808.884078665,Wittenoom_Formation,1532.2180425701788,415,0.2545439650450517,0.967061202747346,531816.5681078733,7503081.60390389,541487.1801353468,7500536.16425344,11.24156318377193,full,4.4501771048681675,1536.8513685616456,119.24763759593998,571.2490587889727,690.4966963849126
534231.799758695,7501134.369183125,Wittenoom_Formation,710.2716834679077,218,0.990851780551845,0.1349546182138213,533557.0266676259,7506088.628085884,534906.572849764,7496180.110280366,7.201539616595639,full,10.421547106057412,722.1852016818942,130.6353749639917,564.1157030852293,694.751078049221
530402.2047668749,7521236.235398585,Marra_Mamba_Iron_Formation,886.750878271099,320,-0.9993221087015912,0.0368147125508939,530218.1312041205,7516239.624855077,530586.2783296293,7526232.845942093,18.58354076654112,full,2.6099413668104567,887.6716744434995,40.42130001324222,577.1967593706893,617.6180593839315
548831.18947511,7521110.694545185,Marra_Mamba_Iron_Formation,292.01035537668736,124,-0.8403085265706786,0.5421084579423338,546120.6471853984,7516909.151912332,551541.7317648217,7525312.237178039,26.576757033070535,full,1.3611090599439848,292.09277127069856,6.9382549230612085,652.049947170234,645.1116922471728
550833.86942663,7520332.92575877,Marra_Mamba_Iron_Formation,950.3371211642584,486,-0.8887513230015175,0.458389665964507,548541.9210968075,7515889.169143762,553125.8177564525,7524776.682373777,31.24833690671575,full,0.4770316506623067,950.370060085139,7.912473915306464,668.896575196894,660.9841012815875
552243.0505179199,7519131.661241811,Marra_Mamba_Iron_Formation,1479.336105973426,713,-0.7203502952875184,0.6936104469218909,548774.9982833104,7515529.909765373,555711.1027525294,7522733.412718249,30.23131462763226,full,1.394754142798324,1479.7745298129148,36.018670802986435,702.1578996766245,666.1392288736381
553506.37492226,7516896.125452775,Marra_Mamba_Iron_Formation,1382.104366534057,521,0.0623749553280382,0.9980527866540052,548516.1109889899,7517208.000229415,558496.63885553,7516584.250676135,22.590012895793166,full,0.43751099126116105,1382.1446618036643,10.553964177438843,651.7850477642957,641.2310835868568
